20230319 20:50:00.749218 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#83] from 127.0.0.1:49604 - tcpserver.cc:53
20230319 20:50:00.749223 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749225 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#84] from 127.0.0.1:49610 - tcpserver.cc:53
20230319 20:50:00.749237 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#85] from 127.0.0.1:49612 - tcpserver.cc:53
20230319 20:50:00.749242 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#86] from 127.0.0.1:49628 - tcpserver.cc:53
20230319 20:50:00.749249 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749266 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749274 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#87] from 127.0.0.1:49644 - tcpserver.cc:53
20230319 20:50:00.749283 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#88] from 127.0.0.1:49646 - tcpserver.cc:53
20230319 20:50:00.749286 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#76] - tcpserver.cc:38
